tool;type;value;source
Ruby on Rails;keyword;programming;TERESAH
Perl;keyword;Programming language;TERESAH
Python;keyword;Programming language;TERESAH
XSugar;developer;Programming Language Research Team, Department of Computer Science, Aarhus University;TERESAH
Bamboo Content Interoperability Hub;developer;Project Bamboo;TERESAH
Bamboo HUBzero Work Space;developer;Project Bamboo;TERESAH
Bamboo Person Service;developer;Project Bamboo;TERESAH
Bamboo Services Platform;developer;Project Bamboo;TERESAH
Philologic;keyword;Project Bamboo;TERESAH
Basecamp;description;Project management software for sharing files, messages, and task management, including options for daily update emails, real time document editing.;BambooDirt
Project Pad;description;"Project Pad is web-based system for media annotation and collaboration for teaching and learning and scholarly applications. Project Pad provides tools for browsing and working with audio, video, and images from digital repositories. The user may organize and annotate excerpts within their own ""online notebook.""";BambooDirt
Project Quincy;description;Project Quincy allows users to trace the development of social networks and institutions over time and space using information about people, places and organizations. It is a Ruby on Rails application with a MySQL database that can be installed on a web server.;BambooDirt
Projects;description;Projects allows researchers to organise and manage all their research outputs in a safe, simple and structured way. Itâ€™s designed to help academics, at any stage of their career, keep track and stay on top of all their results. Itâ€™s a light, useful and slick application that integrates into a researcherâ€™s existing workflow to help them work more efficiently and ensure they have more time for making discoveries.;BambooDirt
Proofread Page;description;Proofread Page is an extension for MediaWiki which allows you to edit transcriptions side by side with the page images. It is used on WikiSource for manuscript and early print transcription projects. Proofread Page supports workflow, but no markup.;BambooDirt
3DVIA Virtools;license;Proprietary;TERESAH
Adapter;license;Proprietary;TERESAH
Adobe After Effects;license;Proprietary;TERESAH
Adobe Bridge;license;Proprietary;TERESAH
Adobe Dreamweaver;license;Proprietary;TERESAH
Adobe Illustrator;license;Proprietary;TERESAH
Adobe InDesign;license;Proprietary;TERESAH
ArcExplorer;license;Proprietary;TERESAH
ArcGis;license;Proprietary;TERESAH
Archeosurveyor;license;Proprietary;TERESAH
Asset Bank;license;Proprietary;TERESAH
Autodesk 3ds Max;license;Proprietary;TERESAH
BBEdit;license;Proprietary;TERESAH
MAXQDA;license;Proprietary;TERESAH
Mercury Amira;license;Proprietary;TERESAH
OmniPage;license;Proprietary;TERESAH
Oracle Database;license;Proprietary;TERESAH
oXygen XML editor;license;Proprietary;TERESAH
Pro Tools;license;Proprietary;TERESAH
QuarkXPress;license;Proprietary;TERESAH
RivEx;license;Proprietary;TERESAH
Sharepoint;license;Proprietary;TERESAH
SiteCrawler;license;Proprietary;TERESAH
SQL Server;license;Proprietary;TERESAH
TextPad;license;Proprietary;TERESAH
TurnTool;license;Proprietary;TERESAH
XMetal;license;Proprietary;TERESAH
Zoomify;license;Proprietary;TERESAH
Protégé;description;Protégé is an open-source ontology editor, allowing users to construct and edit their own ontology for the semantic web, giving the opportunity to link this new ontology more effectively with others that are available online. Additionally the site offers downloads of existing OWL (Web Ontology Language) ontologies. A beta version of a web editor is available, but the downloaded versions have more functionality. Training and consulation are also available for a fee.;HistoryOnline
JsFiddle;keyword;Prototyping;TERESAH
Protovis;description;"Protovis composes custom views of data with simple marks such as bars and dots. Unlike low-level graphics libraries that quickly become tedious for visualization, Protovis defines marks through dynamic properties that encode data, allowing inheritance, scales and layouts to simplify construction.
Protovis is free and open-source, provided under the BSD License. It uses JavaScript and SVG for web-native visualizations; no plugin required (though you will need a modern web browser)! Although programming experience is helpful, Protovis is mostly declarative and designed to be learned by example.";BambooDirt
QDA Miner;developer;Provalis Research;TERESAH
WordStat - Content Analysis & Text Mining Software;developer;Provalis Research;TERESAH
OS Open Data;description;Provides up-to-date and accurate maps and geographic data. There are a range of map types including Boundary-Line, 1:250 000 Scale Raster, and street view. All products are free to view, download and order.;HistoryOnline
Adobe Dreamweaver;standard;PSD;TERESAH
Adobe Flash;standard;PSD;TERESAH
Adobe Illustrator;standard;PSD;TERESAH
QuarkXPress;standard;PSD;TERESAH
Flickr;license;Public Domain;TERESAH
Open Conference Systems;developer;Public Knowledge Project;TERESAH
Open Harvester Systems;developer;Public Knowledge Project;TERESAH
Open Journal Systems;developer;Public Knowledge Project;TERESAH
Asset Bank;keyword;publication;TERESAH
Publish or Perish;description;Publish or Perish is a software program that retrieves and analyzes academic citations. It uses Google Scholar to obtain the raw citations, then analyzes these and presents the statistics.;BambooDirt
3DVIA Virtools;tool-type;Publishing;TERESAH
Adobe After Effects;tool-type;Publishing;TERESAH
Adobe Bridge;tool-type;Publishing;TERESAH
Adobe Dreamweaver;tool-type;Publishing;TERESAH
Adobe Flash;tool-type;Publishing;TERESAH
Adobe Illustrator;tool-type;Publishing;TERESAH
Adobe InDesign;tool-type;Publishing;TERESAH
Adobe Pagemaker;tool-type;Publishing;TERESAH
Annotum;tool-type;Publishing;TERESAH
Anthologize;tool-type;Publishing;TERESAH
ArcExplorer;tool-type;Publishing;TERESAH
ArcGis;tool-type;Publishing;TERESAH
ArcView;tool-type;Publishing;TERESAH
Asset Bank;tool-type;Publishing;TERESAH
CHET-C (Chapel Hill Electronic Text-Converter);tool-type;Publishing;TERESAH
Chicken of the VNC;tool-type;Publishing;TERESAH
Drupal;tool-type;Publishing;TERESAH
EpiDoc XSLT;tool-type;Publishing;TERESAH
EPrints.org;tool-type;Publishing;TERESAH
ERDAS Imagine;tool-type;Publishing;TERESAH
Exceed;tool-type;Publishing;TERESAH
Fedora Commons;tool-type;Publishing;TERESAH
FigShare;tool-type;Publishing;TERESAH
FocusOPEN Digital Asset Manager;tool-type;Publishing;TERESAH
Gamera;tool-type;Publishing;TERESAH
GDAL;tool-type;Publishing;TERESAH
GeoNames;tool-type;Publishing;TERESAH
GeoParser;tool-type;Publishing;TERESAH
Global Translator;tool-type;Publishing;TERESAH
Google Earth;tool-type;Publishing;TERESAH
Greenstone;tool-type;Publishing;TERESAH
ImageMagik;tool-type;Publishing;TERESAH
iShowU;tool-type;Publishing;TERESAH
iShowU;tool-type;Publishing;TERESAH
iWrite;tool-type;Publishing;TERESAH
iWrite;tool-type;Publishing;TERESAH
Jing;tool-type;Publishing;TERESAH
LC Newspaper Viewer;tool-type;Publishing;TERESAH
Legend Maker;tool-type;Publishing;TERESAH
Mercury Amira;tool-type;Publishing;TERESAH
MySQL;tool-type;Publishing;TERESAH
Omeka.net;tool-type;Publishing;TERESAH
Open Attribute;tool-type;Publishing;TERESAH
Open Conference Systems;tool-type;Publishing;TERESAH
Open Journal Systems;tool-type;Publishing;TERESAH
OpenETD;tool-type;Publishing;TERESAH
PaperCritic;tool-type;Publishing;TERESAH
Papyrological Navigator (PN);tool-type;Publishing;TERESAH
Plone;tool-type;Publishing;TERESAH
Plone;tool-type;Publishing;TERESAH
Posterous Spaces;tool-type;Publishing;TERESAH
Pycoon;tool-type;Publishing;TERESAH
QuarkXPress;tool-type;Publishing;TERESAH
QuarkXPress;tool-type;Publishing;TERESAH
RDB2Java;tool-type;Publishing;TERESAH
Roambi Lite;tool-type;Publishing;TERESAH
Scholastica;tool-type;Publishing;TERESAH
ScreenFlow;tool-type;Publishing;TERESAH
Screenr;tool-type;Publishing;TERESAH
Sharepoint;tool-type;Publishing;TERESAH
Sophie;tool-type;Publishing;TERESAH
SoSOL (Son of SOL);tool-type;Publishing;TERESAH
SQL Server;tool-type;Publishing;TERESAH
StoryKit;tool-type;Publishing;TERESAH
Substance;tool-type;Publishing;TERESAH
Tackk;tool-type;Publishing;TERESAH
The Transcoder;tool-type;Publishing;TERESAH
ToadHMS;tool-type;Publishing;TERESAH
TurnTool;tool-type;Publishing;TERESAH
WebSlides;tool-type;Publishing;TERESAH
Wink;tool-type;Publishing;TERESAH
WordPress;tool-type;Publishing;TERESAH
Xalan;tool-type;Publishing;TERESAH
xMod;tool-type;Publishing;TERESAH
Zoomify;tool-type;Publishing;TERESAH
Pundit;description;"Pundit is a semantic annotation and augmentation tool. It enables users to create structured data while annotating web pages.

Annotations span from simple comments to semantic links to web of data entities (as Freebase.com and Dbpedia.org), to fine granular cross-references and citations. Pundit can be configured to include custom controlled vocabularies. In other words, annotations can refer to precise entities and concepts as well as express precise relations among entities and contents. Read more on semantically structured annotations

Pundit is designed to enable groups of users to share their annotations and collaboratively create structured knowledge.";BambooDirt
Blackboard Scholar;developer;Purdue University;TERESAH
HUBzero;developer;Purdue University;TERESAH
Purdue OWL;developer;Purdue University English Dept.;TERESAH
ifttt;description;Put the internet to work for you by creating tasks that fit this simple structure: if this then that. Think of all the things you could do if you were able to define any task as: when something happens (this) then do something else (that).;BambooDirt
PyBossa;description;PyBossa is a free, open-source, platform for creating and running crowd-sourcing applications that utilise online assistance in performing tasks that require human cognition, knowledge or intelligence such as image classification, transcription, geocoding and more.;BambooDirt
BBEdit;keyword;Python;TERESAH
EATS;keyword;Python;TERESAH
Gamera;keyword;Python;TERESAH
Gamera;keyword;Python;TERESAH
GeoNames;keyword;Python;TERESAH
ImageMagik;keyword;Python;TERESAH
Mac OS X 10.7+, Mac iOS 4.0+;keyword;Python;TERESAH
Pattern;keyword;Python;TERESAH
Plone;keyword;Python;TERESAH
PostgreSQL;keyword;Python;TERESAH
Pycoon;keyword;Python;TERESAH
Solr;keyword;Python;TERESAH
Subversion Version System (SVN);keyword;Python;TERESAH
Subversion Version System (SVN);keyword;Python;TERESAH
music21;keyword;Python http://www.python.org/;TERESAH
Beautiful Soup;license;Python Software Foundation;TERESAH
Python;license;Python Software Foundation;TERESAH
Python;developer;Python Software Foundation;TERESAH
QDA Miner;description;"QDA Miner is an easy-to-use mixed-methods qualitative data analysis software package for coding, annotating, retrieving and analyzing small and large collections of documents and images. QDA Miner may be used to analyze interview or focus-group transcripts, legal documents, journal articles, even entire books, as well as drawing, photographs, paintings, and other types of visual documents. Its seamless integration with SimStat, a statistical data analysis tool, and WordStat, a content analysis and text-mining module, gives you unprecedented flexibility for analyzing text and relating its content to structured information, including numerical and categorical data.
For more information, visit http://provalisresearch.com/products/qualitative-data-analysis-software/";BambooDirt
Qigga;description;"Qiqqa is a research management software that allows you to organize large numbers of papers; find new papers to read and new information about papers you already have; review materials and create annotation reports. Qiqqa has several PDF tools that also allow you to convert from PDFs to text, and use a clipboard function to cut and paste text into your document.";BambooDirt
NVivo;developer;QSR International;TERESAH
Quadrigram;description;"Quadrigram describes itself as a ""visual programming environment"" for living data. It is primarily a tool for data visualization that allows the user to create custom, interactive visualizations of a range of different types of data.";BambooDirt
NVivo;keyword;Qualitative analysis;TERESAH
Text Analysis Markup System (TAMS) Analyzer;keyword;qualitative analysis;TERESAH
Atlas.ti;keyword;Qualitative Data Analysis;TERESAH
Qualrus;description;Qualrus is an innovative qualitative data analysis tool that helps you manage unstructured data. Additionally, Qualrus learns your coding trends, provides a visual semantic network display, and gives advice and technical support.;BambooDirt
Quantum GIS;description;Quantum GIS (QGIS) is a user friendly Open Source Geographic Information System (GIS) licensed under the GNU General Public License. QGIS is an official project of the Open Source Geospatial Foundation (OSGeo). It runs on Linux, Unix, Mac OSX, Windows and Android and supports numerous vector, raster, and database formats and functionalities.;BambooDirt
QuarkXPress;keyword;Quark;TERESAH
QuarkXPress;developer;Quark Inc;TERESAH
QuarkXPress;keyword;QuarkXpress;TERESAH
QuarkXPress;description;"QuarkXPress desktop publishing software is commonly used to create page layouts for a variety of print publications such as books, newspapers, magazines, posters and brochures. Similar in function to InDesign, the main differences are Quark's unique features for exporting documents as interactive webpages as well as its widespread use by printers, typesetters and page designers.
Features: 
Enables the production of HTML and XML content without the need to convert or refine documents
Supports direct PDF importing and outputing according to regulations
Fully supports Adobe Photoshop files, avoiding complicated and time-consuming conversions
Uses OpenType and Unicode, making font and character settings easy
Free TypeTricks XTension locates overset text boxes as well as widows and orphans
Presents intuitive colour-management tools that includes the unique option of hexachrome printing
Allows the customisation of line and border dashes and stripes as well as the merging of boxes to generate complex shapes
Text runaround for hidden layers may be turned off
Shared Content instantly incorporates any text or graphic changes consistently throughout a project
XPress Composition Zones allow team members to work simulatenously on a project, with all modifications being updated instantly
Job jackets keep print job specifications consistent throughout the project, ensuring their clarity and memorability";BambooDirt
QuarkXPress;description;QuarkXPress desktop publishing software is commonly used to create page layouts for a variety of print publications such as books, newspapers, magazines, posters and brochures.Similar in function to InDesign, the main differences are Quark's unique features for exporting documents as interactive webpages as well as its widespread use by printers, typesetters and page designers.;ArtsHumanities
Adobe InDesign;standard;QuarkXpress Document (QXD);TERESAH
Adobe Pagemaker;standard;QuarkXpress Document (QXD);TERESAH
QuarkXPress;standard;QuarkXpress Document (QXD);TERESAH
Oracle Database;keyword;query language;TERESAH
PostgreSQL;keyword;query language;TERESAH
PostgreSQL;keyword;query language;TERESAH
QuickVoice iP;description;QuickVoice iP is a voice recorder for Mac and Windows, as well as the iPhone, iPad, and iPod. You may record voice notes, reminders, dictations, meetings, to do lists and entire lectures.;BambooDirt
